Species	Genus	CF	n_genomes_cf	positive_genomes	prevalence	mean_copy_all	mean_copy_pos	n_genomes	n_skin	n_nasal	module	functional_theme	functional_theme_short
Acinetobacter bereziniae	Acinetobacter	CF7	2	2	1	1	1	2	2	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter bereziniae	Acinetobacter	CF2_10	2	2	1	2	2	2	2	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter bereziniae	Acinetobacter	CF2_4	2	2	1	2	2	2	2	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter bereziniae	Acinetobacter	CF6	2	2	1	1	1	2	2	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter bereziniae	Acinetobacter	CF5	2	2	1	1	1	2	2	0	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter bereziniae	Acinetobacter	CF9_12	2	0	0	0	0	2	2	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter bereziniae	Acinetobacter	CF9_9	2	2	1	1	1	2	2	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter bereziniae	Acinetobacter	CF10	2	0	0	0	0	2	2	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter bereziniae	Acinetobacter	CF22	2	0	0	0	0	2	2	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter bereziniae	Acinetobacter	CF25	2	0	0	0	0	2	2	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter bereziniae	Acinetobacter	CF11	2	0	0	0	0	2	2	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter bereziniae	Acinetobacter	CF19	2	2	1	12.5	12.5	2	2	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter bereziniae	Acinetobacter	CF13	2	2	1	3	3	2	2	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter bereziniae	Acinetobacter	CF14	2	2	1	1	1	2	2	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter bereziniae	Acinetobacter	CF24	2	2	1	1	1	2	2	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter bereziniae	Acinetobacter	CF15_17	2	0	0	0	0	2	2	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter bereziniae	Acinetobacter	CF15_19	2	2	1	1	1	2	2	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter bereziniae	Acinetobacter	CF16	2	2	1	1	1	2	2	0	module12	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter bereziniae	Acinetobacter	CF17_20	2	0	0	0	0	2	2	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter bereziniae	Acinetobacter	CF17_23	2	0	0	0	0	2	2	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter bereziniae	Acinetobacter	CF18	2	2	1	1	1	2	2	0	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter bereziniae	Acinetobacter	CF20	2	2	1	1	1	2	2	0	module15	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter bereziniae	Acinetobacter	CF21	2	2	1	1	1	2	2	0	module16	Poorly characterized candidate modules	Poorly characterized
Acinetobacter bereziniae	Acinetobacter	CF23	2	2	1	1	1	2	2	0	module17	Poorly characterized candidate modules	Poorly characterized
Acinetobacter bereziniae	Acinetobacter	CF26	2	0	0	0	0	2	2	0	module18	Intercellular communication signal	Communication signal
