Species	Genus	CF	n_genomes_cf	positive_genomes	prevalence	mean_copy_all	mean_copy_pos	n_genomes	n_skin	n_nasal	module	functional_theme	functional_theme_short
Acinetobacter sp943914805	Acinetobacter	CF2_4	1	1	1	1	1	1	1	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter sp943914805	Acinetobacter	CF6	1	1	1	1	1	1	1	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter sp943914805	Acinetobacter	CF5	1	1	1	1	1	1	1	0	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter sp943914805	Acinetobacter	CF9_12	1	0	0	0	0	1	1	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter sp943914805	Acinetobacter	CF9_9	1	1	1	1	1	1	1	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter sp943914805	Acinetobacter	CF10	1	0	0	0	0	1	1	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter sp943914805	Acinetobacter	CF22	1	0	0	0	0	1	1	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter sp943914805	Acinetobacter	CF25	1	0	0	0	0	1	1	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter sp943914805	Acinetobacter	CF11	1	0	0	0	0	1	1	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter sp943914805	Acinetobacter	CF19	1	1	1	7	7	1	1	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter sp943914805	Acinetobacter	CF13	1	1	1	3	3	1	1	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter sp943914805	Acinetobacter	CF14	1	1	1	1	1	1	1	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter sp943914805	Acinetobacter	CF24	1	1	1	1	1	1	1	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter sp943914805	Acinetobacter	CF15_17	1	0	0	0	0	1	1	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter sp943914805	Acinetobacter	CF15_19	1	1	1	1	1	1	1	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter sp943914805	Acinetobacter	CF16	1	1	1	1	1	1	1	0	module12	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter sp943914805	Acinetobacter	CF17_20	1	0	0	0	0	1	1	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter sp943914805	Acinetobacter	CF17_23	1	0	0	0	0	1	1	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter sp943914805	Acinetobacter	CF18	1	1	1	1	1	1	1	0	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter sp943914805	Acinetobacter	CF20	1	1	1	1	1	1	1	0	module15	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter sp943914805	Acinetobacter	CF21	1	1	1	1	1	1	1	0	module16	Poorly characterized candidate modules	Poorly characterized
Acinetobacter sp943914805	Acinetobacter	CF23	1	1	1	1	1	1	1	0	module17	Poorly characterized candidate modules	Poorly characterized
Acinetobacter sp943914805	Acinetobacter	CF26	1	0	0	0	0	1	1	0	module18	Intercellular communication signal	Communication signal
Acinetobacter ursingii	Acinetobacter	CF0	10	10	1	1.9	1.9	10	10	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter ursingii	Acinetobacter	CF12	10	10	1	4.2	4.2	10	10	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter ursingii	Acinetobacter	CF8	10	10	1	2	2	10	10	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter ursingii	Acinetobacter	CF1	10	10	1	1	1	10	10	0	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter ursingii	Acinetobacter	CF3	10	10	1	1.1	1.1	10	10	0	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter ursingii	Acinetobacter	CF4	10	10	1	1	1	10	10	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter ursingii	Acinetobacter	CF7	10	10	1	1.2	1.2	10	10	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter ursingii	Acinetobacter	CF2_10	10	10	1	2.2	2.2	10	10	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter ursingii	Acinetobacter	CF2_4	10	10	1	2	2	10	10	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter ursingii	Acinetobacter	CF6	10	10	1	1	1	10	10	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter ursingii	Acinetobacter	CF5	10	10	1	1	1	10	10	0	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter ursingii	Acinetobacter	CF9_12	10	0	0	0	0	10	10	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter ursingii	Acinetobacter	CF9_9	10	10	1	1	1	10	10	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter ursingii	Acinetobacter	CF10	10	0	0	0	0	10	10	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter ursingii	Acinetobacter	CF22	10	0	0	0	0	10	10	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter ursingii	Acinetobacter	CF25	10	0	0	0	0	10	10	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter ursingii	Acinetobacter	CF11	10	0	0	0	0	10	10	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter ursingii	Acinetobacter	CF19	10	10	1	6.7	6.7	10	10	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter ursingii	Acinetobacter	CF13	10	10	1	2.9	2.9	10	10	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter ursingii	Acinetobacter	CF14	10	10	1	1	1	10	10	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter ursingii	Acinetobacter	CF24	10	10	1	1	1	10	10	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter ursingii	Acinetobacter	CF15_17	10	0	0	0	0	10	10	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter ursingii	Acinetobacter	CF15_19	10	10	1	1	1	10	10	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter ursingii	Acinetobacter	CF16	10	10	1	1	1	10	10	0	module12	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter ursingii	Acinetobacter	CF17_20	10	0	0	0	0	10	10	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter ursingii	Acinetobacter	CF17_23	10	0	0	0	0	10	10	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter ursingii	Acinetobacter	CF18	10	10	1	1	1	10	10	0	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter ursingii	Acinetobacter	CF20	10	10	1	1	1	10	10	0	module15	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter ursingii	Acinetobacter	CF21	10	10	1	1	1	10	10	0	module16	Poorly characterized candidate modules	Poorly characterized
Acinetobacter ursingii	Acinetobacter	CF23	10	9	0.9	0.9	1	10	10	0	module17	Poorly characterized candidate modules	Poorly characterized
Acinetobacter ursingii	Acinetobacter	CF26	10	0	0	0	0	10	10	0	module18	Intercellular communication signal	Communication signal
Alloprevotella massiliensis	Alloprevotella	CF0	1	0	0	0	0	1	0	1	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella massiliensis	Alloprevotella	CF12	1	0	0	0	0	1	0	1	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella massiliensis	Alloprevotella	CF8	1	0	0	0	0	1	0	1	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella massiliensis	Alloprevotella	CF1	1	1	1	1	1	1	0	1	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella massiliensis	Alloprevotella	CF3	1	0	0	0	0	1	0	1	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella massiliensis	Alloprevotella	CF4	1	0	0	0	0	1	0	1	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella massiliensis	Alloprevotella	CF7	1	0	0	0	0	1	0	1	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella massiliensis	Alloprevotella	CF2_10	1	0	0	0	0	1	0	1	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella massiliensis	Alloprevotella	CF2_4	1	1	1	1	1	1	0	1	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella massiliensis	Alloprevotella	CF6	1	1	1	1	1	1	0	1	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella massiliensis	Alloprevotella	CF5	1	1	1	1	1	1	0	1	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella massiliensis	Alloprevotella	CF9_12	1	0	0	0	0	1	0	1	module7	Poorly characterized candidate modules	Poorly characterized
Alloprevotella massiliensis	Alloprevotella	CF9_9	1	1	1	1	1	1	0	1	module7	Poorly characterized candidate modules	Poorly characterized
Alloprevotella massiliensis	Alloprevotella	CF10	1	0	0	0	0	1	0	1	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella massiliensis	Alloprevotella	CF22	1	1	1	1	1	1	0	1	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella massiliensis	Alloprevotella	CF25	1	0	0	0	0	1	0	1	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella massiliensis	Alloprevotella	CF11	1	0	0	0	0	1	0	1	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella massiliensis	Alloprevotella	CF19	1	0	0	0	0	1	0	1	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella massiliensis	Alloprevotella	CF13	1	1	1	5	5	1	0	1	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella massiliensis	Alloprevotella	CF14	1	1	1	1	1	1	0	1	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella massiliensis	Alloprevotella	CF24	1	1	1	1	1	1	0	1	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella massiliensis	Alloprevotella	CF15_17	1	0	0	0	0	1	0	1	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella massiliensis	Alloprevotella	CF15_19	1	0	0	0	0	1	0	1	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella massiliensis	Alloprevotella	CF16	1	0	0	0	0	1	0	1	module12	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella massiliensis	Alloprevotella	CF17_20	1	1	1	1	1	1	0	1	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella massiliensis	Alloprevotella	CF17_23	1	0	0	0	0	1	0	1	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella massiliensis	Alloprevotella	CF18	1	1	1	2	2	1	0	1	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella massiliensis	Alloprevotella	CF20	1	1	1	1	1	1	0	1	module15	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella massiliensis	Alloprevotella	CF21	1	0	0	0	0	1	0	1	module16	Poorly characterized candidate modules	Poorly characterized
Alloprevotella massiliensis	Alloprevotella	CF23	1	1	1	1	1	1	0	1	module17	Poorly characterized candidate modules	Poorly characterized
Alloprevotella massiliensis	Alloprevotella	CF26	1	1	1	1	1	1	0	1	module18	Intercellular communication signal	Communication signal
Alloprevotella sp.	Alloprevotella	CF0	1	0	0	0	0	1	1	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp.	Alloprevotella	CF12	1	0	0	0	0	1	1	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp.	Alloprevotella	CF8	1	0	0	0	0	1	1	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp.	Alloprevotella	CF1	1	1	1	1	1	1	1	0	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp.	Alloprevotella	CF3	1	0	0	0	0	1	1	0	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp.	Alloprevotella	CF4	1	0	0	0	0	1	1	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella sp.	Alloprevotella	CF7	1	0	0	0	0	1	1	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella sp.	Alloprevotella	CF2_10	1	0	0	0	0	1	1	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp.	Alloprevotella	CF2_4	1	1	1	1	1	1	1	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp.	Alloprevotella	CF6	1	1	1	1	1	1	1	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp.	Alloprevotella	CF5	1	1	1	1	1	1	1	0	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp.	Alloprevotella	CF9_12	1	0	0	0	0	1	1	0	module7	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp.	Alloprevotella	CF9_9	1	1	1	1	1	1	1	0	module7	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp.	Alloprevotella	CF10	1	0	0	0	0	1	1	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp.	Alloprevotella	CF22	1	1	1	1	1	1	1	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp.	Alloprevotella	CF25	1	0	0	0	0	1	1	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp.	Alloprevotella	CF11	1	0	0	0	0	1	1	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp.	Alloprevotella	CF19	1	0	0	0	0	1	1	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp.	Alloprevotella	CF13	1	1	1	4	4	1	1	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp.	Alloprevotella	CF14	1	1	1	1	1	1	1	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp.	Alloprevotella	CF24	1	1	1	1	1	1	1	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp.	Alloprevotella	CF15_17	1	0	0	0	0	1	1	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp.	Alloprevotella	CF15_19	1	0	0	0	0	1	1	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp.	Alloprevotella	CF16	1	0	0	0	0	1	1	0	module12	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp.	Alloprevotella	CF17_20	1	1	1	1	1	1	1	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp.	Alloprevotella	CF17_23	1	0	0	0	0	1	1	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp.	Alloprevotella	CF18	1	1	1	1	1	1	1	0	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella sp.	Alloprevotella	CF20	1	1	1	1	1	1	1	0	module15	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp.	Alloprevotella	CF21	1	0	0	0	0	1	1	0	module16	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp.	Alloprevotella	CF23	1	1	1	1	1	1	1	0	module17	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp.	Alloprevotella	CF26	1	1	1	1	1	1	1	0	module18	Intercellular communication signal	Communication signal
Alloprevotella sp015257125	Alloprevotella	CF0	3	0	0	0	0	3	1	2	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015257125	Alloprevotella	CF12	3	0	0	0	0	3	1	2	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015257125	Alloprevotella	CF8	3	0	0	0	0	3	1	2	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015257125	Alloprevotella	CF1	3	3	1	1	1	3	1	2	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp015257125	Alloprevotella	CF3	3	0	0	0	0	3	1	2	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015257125	Alloprevotella	CF4	3	0	0	0	0	3	1	2	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella sp015257125	Alloprevotella	CF7	3	0	0	0	0	3	1	2	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella sp015257125	Alloprevotella	CF2_10	3	0	0	0	0	3	1	2	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015257125	Alloprevotella	CF2_4	3	3	1	1	1	3	1	2	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015257125	Alloprevotella	CF6	3	3	1	1	1	3	1	2	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015257125	Alloprevotella	CF5	3	3	1	1	1	3	1	2	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp015257125	Alloprevotella	CF9_12	3	0	0	0	0	3	1	2	module7	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp015257125	Alloprevotella	CF9_9	3	3	1	1	1	3	1	2	module7	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp015257125	Alloprevotella	CF10	3	0	0	0	0	3	1	2	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp015257125	Alloprevotella	CF22	3	3	1	1	1	3	1	2	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp015257125	Alloprevotella	CF25	3	0	0	0	0	3	1	2	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp015257125	Alloprevotella	CF11	3	0	0	0	0	3	1	2	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015257125	Alloprevotella	CF19	3	0	0	0	0	3	1	2	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015257125	Alloprevotella	CF13	3	3	1	4.66666666666667	4.66666666666667	3	1	2	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015257125	Alloprevotella	CF14	3	3	1	1	1	3	1	2	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015257125	Alloprevotella	CF24	3	3	1	1	1	3	1	2	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015257125	Alloprevotella	CF15_17	3	0	0	0	0	3	1	2	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015257125	Alloprevotella	CF15_19	3	0	0	0	0	3	1	2	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015257125	Alloprevotella	CF16	3	0	0	0	0	3	1	2	module12	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015257125	Alloprevotella	CF17_20	3	3	1	1	1	3	1	2	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015257125	Alloprevotella	CF17_23	3	0	0	0	0	3	1	2	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015257125	Alloprevotella	CF18	3	3	1	1	1	3	1	2	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella sp015257125	Alloprevotella	CF20	3	3	1	1	1	3	1	2	module15	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015257125	Alloprevotella	CF21	3	0	0	0	0	3	1	2	module16	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp015257125	Alloprevotella	CF23	3	3	1	1	1	3	1	2	module17	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp015257125	Alloprevotella	CF26	3	3	1	1	1	3	1	2	module18	Intercellular communication signal	Communication signal
Alloprevotella sp015259235	Alloprevotella	CF0	8	0	0	0	0	8	8	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015259235	Alloprevotella	CF12	8	0	0	0	0	8	8	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015259235	Alloprevotella	CF8	8	0	0	0	0	8	8	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015259235	Alloprevotella	CF1	8	8	1	1	1	8	8	0	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp015259235	Alloprevotella	CF3	8	0	0	0	0	8	8	0	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015259235	Alloprevotella	CF4	8	0	0	0	0	8	8	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella sp015259235	Alloprevotella	CF7	8	0	0	0	0	8	8	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella sp015259235	Alloprevotella	CF2_10	8	0	0	0	0	8	8	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015259235	Alloprevotella	CF2_4	8	8	1	1	1	8	8	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015259235	Alloprevotella	CF6	8	8	1	1	1	8	8	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015259235	Alloprevotella	CF5	8	8	1	1	1	8	8	0	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp015259235	Alloprevotella	CF9_12	8	0	0	0	0	8	8	0	module7	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp015259235	Alloprevotella	CF9_9	8	8	1	1	1	8	8	0	module7	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp015259235	Alloprevotella	CF10	8	0	0	0	0	8	8	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp015259235	Alloprevotella	CF22	8	8	1	1	1	8	8	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp015259235	Alloprevotella	CF25	8	0	0	0	0	8	8	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp015259235	Alloprevotella	CF11	8	0	0	0	0	8	8	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015259235	Alloprevotella	CF19	8	0	0	0	0	8	8	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015259235	Alloprevotella	CF13	8	8	1	5	5	8	8	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015259235	Alloprevotella	CF14	8	8	1	1	1	8	8	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015259235	Alloprevotella	CF24	8	8	1	1	1	8	8	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015259235	Alloprevotella	CF15_17	8	0	0	0	0	8	8	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015259235	Alloprevotella	CF15_19	8	0	0	0	0	8	8	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015259235	Alloprevotella	CF16	8	0	0	0	0	8	8	0	module12	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015259235	Alloprevotella	CF17_20	8	8	1	1	1	8	8	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015259235	Alloprevotella	CF17_23	8	0	0	0	0	8	8	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp015259235	Alloprevotella	CF18	8	8	1	1	1	8	8	0	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella sp015259235	Alloprevotella	CF20	8	8	1	1	1	8	8	0	module15	Translation and RNA-centered regulation	Translation/RNA regulation
Alloprevotella sp015259235	Alloprevotella	CF21	8	0	0	0	0	8	8	0	module16	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp015259235	Alloprevotella	CF23	8	8	1	1	1	8	8	0	module17	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp015259235	Alloprevotella	CF26	8	8	1	1	1	8	8	0	module18	Intercellular communication signal	Communication signal
Alloprevotella sp905371275	Alloprevotella	CF0	5	0	0	0	0	5	4	1	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp905371275	Alloprevotella	CF12	5	5	1	1	1	5	4	1	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp905371275	Alloprevotella	CF8	5	0	0	0	0	5	4	1	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp905371275	Alloprevotella	CF1	5	5	1	1	1	5	4	1	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp905371275	Alloprevotella	CF3	5	0	0	0	0	5	4	1	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp905371275	Alloprevotella	CF4	5	0	0	0	0	5	4	1	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella sp905371275	Alloprevotella	CF7	5	0	0	0	0	5	4	1	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Alloprevotella sp905371275	Alloprevotella	CF2_10	5	0	0	0	0	5	4	1	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp905371275	Alloprevotella	CF2_4	5	5	1	1	1	5	4	1	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp905371275	Alloprevotella	CF6	5	5	1	1	1	5	4	1	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Alloprevotella sp905371275	Alloprevotella	CF5	5	5	1	1	1	5	4	1	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp905371275	Alloprevotella	CF9_12	5	0	0	0	0	5	4	1	module7	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp905371275	Alloprevotella	CF9_9	5	5	1	1	1	5	4	1	module7	Poorly characterized candidate modules	Poorly characterized
Alloprevotella sp905371275	Alloprevotella	CF10	5	0	0	0	0	5	4	1	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp905371275	Alloprevotella	CF22	5	5	1	1	1	5	4	1	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp905371275	Alloprevotella	CF25	5	0	0	0	0	5	4	1	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Alloprevotella sp905371275	Alloprevotella	CF11	5	0	0	0	0	5	4	1	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
