MAG	body_region	Microenvironments	taxonomy_status
MET0045_bin.3	Lower limb & foot skin	toenail	not_annotated
MET0056_bin.2	Lower limb & foot skin	toenail	not_annotated
MET0095_bin.3	Lower limb & foot skin	moist	not_annotated
MET0114_bin.2	Scalp & auricular skin	sebaceous	not_annotated
MET0181_bin.2_new	Trunk skin	moist	not_annotated
MET0181_bin.4	Trunk skin	moist	not_annotated
MET0184_bin.4	Facial skin	sebaceous	not_annotated
MET0188_bin.8	Upper limb & hand skin	dry	not_annotated
MET0191_bin.3	Trunk skin	moist	not_annotated
MET0198_bin.3	Facial skin	sebaceous	final_reannotation
MET0199_bin.7	Trunk skin	sebaceous	not_annotated
MET0210_bin.5_new	Lower limb & foot skin	moist	not_annotated
MET0212_bin.3_new	Trunk skin	sebaceous	not_annotated
MET0217_bin.4	Lower limb & foot skin	moist	not_annotated
MET0217_bin.5	Lower limb & foot skin	moist	not_annotated
MET0230_bin.1_new	Trunk skin	moist	not_annotated
MET0263_bin.2	Scalp & auricular skin	sebaceous	not_annotated
MET0267_bin.9	Lower limb & foot skin	toenail	not_annotated
MET0270_bin.19	Upper limb & hand skin	moist	not_annotated
MET0276_bin.38	Upper limb & hand skin	dry	not_annotated
MET0278_bin.1	Upper limb & hand skin	moist	not_annotated
MET0279_bin.3	Trunk skin	sebaceous	not_annotated
MET0279_bin.7	Trunk skin	sebaceous	not_annotated
MET0286_bin.7	Upper limb & hand skin	dry	not_annotated
MET0325_bin.3	Lower limb & foot skin	moist	not_annotated
MET0341_bin.14	Unknown	unknown	not_annotated
MET0376_bin.4	Lower limb & foot skin	toenail	not_annotated
MET0395_bin.10	Lower limb & foot skin	toenail	not_annotated
MET0433_bin.8	Lower limb & foot skin	toenail	not_annotated
MET0438_bin.2	Facial skin	sebaceous	not_annotated
MET0489_bin.3	Lower limb & foot skin	moist	not_annotated
MET0490_bin.8	Lower limb & foot skin	toenail	not_annotated
MET0495_bin.4	Facial skin	sebaceous	not_annotated
MET0500_bin.10	Upper limb & hand skin	moist	not_annotated
MET0506_bin.2	Upper limb & hand skin	dry	not_annotated
MET0509_bin.1	Lower limb & foot skin	toenail	not_annotated
MET0547_bin.4	Lower limb & foot skin	toenail	not_annotated
MET0565_bin.5	Lower limb & foot skin	moist	not_annotated
MET0584_bin.4	Lower limb & foot skin	moist	not_annotated
MET0601_bin.4	Upper limb & hand skin	dry	not_annotated
MET0680_bin.5	Lower limb & foot skin	toenail	not_annotated
MET0681_bin.2_new	Lower limb & foot skin	moist	not_annotated
MET0699_bin.3	Lower limb & foot skin	toenail	not_annotated
MET0715_bin.18	Upper limb & hand skin	dry	not_annotated
MET0736_bin.1	Lower limb & foot skin	moist	not_annotated
MET0736_bin.8	Lower limb & foot skin	moist	not_annotated
MET0781_bin.3	Scalp & auricular skin	sebaceous	not_annotated
MET0797_bin.7	Lower limb & foot skin	toenail	not_annotated
MET0801_bin.2	Lower limb & foot skin	toenail	not_annotated
MET1037_bin.1	Unknown	unknown	not_annotated
MET1037_bin.6	Unknown	unknown	not_annotated
SRR1950735_bin.3	Upper limb & hand skin	moist	not_annotated
1111525849478545_bin.28	Facial skin	sebaceous	final_reannotation
1111525849479926_bin.28	Facial skin	sebaceous	final_reannotation
1111525849748686_bin.21	Facial skin	sebaceous	final_reannotation
1111525849753200_bin.22	Facial skin	sebaceous	final_reannotation
1111525849852309_bin.34	Facial skin	sebaceous	final_reannotation
1111525849853675_bin.5	Facial skin	sebaceous	final_reannotation
1111525849854017_bin.10	Facial skin	sebaceous	final_reannotation
1111525849854017_bin.22	Facial skin	sebaceous	final_reannotation
1111525849861219_bin.28	Facial skin	sebaceous	final_reannotation
MET0055_bin.2	Lower limb & foot skin	moist	final_reannotation
MET0085_bin.1	Lower limb & foot skin	toenail	final_reannotation
MET0093_bin.3	Scalp & auricular skin	sebaceous	final_reannotation
MET0119_bin.5	Trunk skin	moist	final_reannotation
MET0194_bin.2	Trunk skin	moist	final_reannotation
MET0207_bin.13	Upper limb & hand skin	dry	not_annotated
MET0211_bin.2	Scalp & auricular skin	sebaceous	final_reannotation
MET0244_bin.4	Lower limb & foot skin	moist	not_annotated
MET0267_bin.12	Lower limb & foot skin	toenail	final_reannotation
MET0268_bin.3	Lower limb & foot skin	moist	final_reannotation
MET0270_bin.9	Upper limb & hand skin	moist	not_annotated
MET0286_bin.12	Upper limb & hand skin	dry	not_annotated
MET0318_bin.1	Lower limb & foot skin	toenail	final_reannotation
MET0433_bin.5	Lower limb & foot skin	toenail	final_reannotation
MET0477_bin.1	Scalp & auricular skin	sebaceous	final_reannotation
MET0487_bin.15	Upper limb & hand skin	dry	final_reannotation
MET0497_bin.11	Facial skin	sebaceous	final_reannotation
MET0584_bin.5	Lower limb & foot skin	moist	final_reannotation
MET0661_bin.3	Lower limb & foot skin	toenail	final_reannotation
MET0705_bin.6	Scalp & auricular skin	sebaceous	final_reannotation
MET0724_bin.2	Scalp & auricular skin	sebaceous	final_reannotation
MET0736_bin.10	Lower limb & foot skin	moist	final_reannotation
MET0737_bin.11	Lower limb & foot skin	toenail	final_reannotation
MET0776_bin.14	Lower limb & foot skin	moist	final_reannotation
SRR1950736_bin.3	Upper limb & hand skin	moist	not_annotated
MET0420_bin.1	Scalp & auricular skin	sebaceous	not_annotated
MET0031_bin.2	Facial skin	sebaceous	final_reannotation
SRR2005651_bin.1	Scalp & auricular skin	sebaceous	final_reannotation
SRR2005654_bin.3	Scalp & auricular skin	sebaceous	final_reannotation
SRR2005538_bin.3	Upper limb & hand skin	moist	not_annotated
1111525849480093_bin.32	Facial skin	sebaceous	final_reannotation
MET0209_bin.1	Upper limb & hand skin	dry	not_annotated
1111525849480310_bin.46	Facial skin	sebaceous	final_reannotation
1111525849640573_bin.28	Facial skin	sebaceous	final_reannotation
1111525849645395_bin.21	Facial skin	sebaceous	not_annotated
1111525849645752_bin.34	Facial skin	sebaceous	not_annotated
MET0206_bin.15	Upper limb & hand skin	moist	not_annotated
MET0207_bin.2_new	Upper limb & hand skin	dry	not_annotated
MET0251_bin.21	Lower limb & foot skin	moist	not_annotated
1111525849475051_bin.14	Facial skin	sebaceous	not_annotated
1111525849475064_bin.2	Facial skin	sebaceous	not_annotated
1111525849475830_bin.3	Facial skin	sebaceous	not_annotated
1111525849478566_bin.5	Facial skin	sebaceous	not_annotated
1111525849478649_bin.2	Facial skin	sebaceous	not_annotated
1111525849478864_bin.20	Facial skin	sebaceous	not_annotated
1111525849479196_bin.4	Facial skin	sebaceous	not_annotated
1111525849479353_bin.1	Facial skin	sebaceous	not_annotated
1111525849479926_bin.3	Facial skin	sebaceous	not_annotated
1111525849480213_bin.7	Facial skin	sebaceous	not_annotated
1111525849480285_bin.1	Facial skin	sebaceous	not_annotated
1111525849481762_bin.1	Facial skin	sebaceous	not_annotated
1111525849481795_bin.3	Facial skin	sebaceous	not_annotated
1111525849483430_bin.1	Facial skin	sebaceous	not_annotated
1111525849484253_bin.25	Facial skin	sebaceous	not_annotated
1111525849485004_bin.25	Facial skin	sebaceous	not_annotated
1111525849486260_bin.9	Facial skin	sebaceous	not_annotated
1111525849486576_bin.33_new	Facial skin	sebaceous	not_annotated
1111525849486744_bin.8	Facial skin	sebaceous	not_annotated
1111525849633480_bin.16	Facial skin	sebaceous	not_annotated
1111525849638589_bin.4	Facial skin	sebaceous	not_annotated
1111525849638712_bin.15_new	Facial skin	sebaceous	not_annotated
1111525849639030_bin.32	Facial skin	sebaceous	not_annotated
1111525849639130_bin.5	Facial skin	sebaceous	not_annotated
1111525849640249_bin.121	Facial skin	sebaceous	not_annotated
1111525849640280_bin.5	Facial skin	sebaceous	not_annotated
1111525849640573_bin.2_new	Facial skin	sebaceous	not_annotated
1111525849641655_bin.3	Facial skin	sebaceous	not_annotated
1111525849645106_bin.1	Facial skin	sebaceous	not_annotated
1111525849645140_bin.8_new	Facial skin	sebaceous	not_annotated
1111525849645395_bin.3	Facial skin	sebaceous	not_annotated
1111525849645504_bin.9	Facial skin	sebaceous	not_annotated
1111525849645752_bin.39	Facial skin	sebaceous	not_annotated
1111525849649755_bin.15	Facial skin	sebaceous	not_annotated
1111525849662506_bin.1	Facial skin	sebaceous	not_annotated
1111525849662927_bin.1_new	Facial skin	sebaceous	not_annotated
1111525849664457_bin.8	Facial skin	sebaceous	not_annotated
1111525849664761_bin.1_new	Facial skin	sebaceous	not_annotated
1111525849668582_bin.23	Facial skin	sebaceous	not_annotated
1111525849668648_bin.4	Facial skin	sebaceous	not_annotated
1111525849669230_bin.1	Facial skin	sebaceous	not_annotated
1111525849669352_bin.2	Facial skin	sebaceous	not_annotated
1111525849669644_bin.12	Facial skin	sebaceous	not_annotated
1111525849669703_bin.14	Facial skin	sebaceous	not_annotated
1111525849669935_bin.3	Facial skin	sebaceous	not_annotated
