phylum,CF_id,positive_species,total_species_in_phylum,percentage
Calditrichota,CF12,48,71,67.6056338028169
Calditrichota,CF13,38,71,53.52112676056338
Calditrichota,CF14,40,71,56.33802816901409
Calditrichota,CF16,1,71,1.4084507042253522
Calditrichota,CF17_20,4,71,5.633802816901409
Calditrichota,CF18,14,71,19.718309859154928
Calditrichota,CF21,3,71,4.225352112676056
Calditrichota,CF23,7,71,9.859154929577464
Calditrichota,CF24,47,71,66.19718309859155
Calditrichota,CF2_10,5,71,7.042253521126761
Calditrichota,CF2_4,7,71,9.859154929577464
Calditrichota,CF4,1,71,1.4084507042253522
Calditrichota,CF5,38,71,53.52112676056338
Calditrichota,CF6,26,71,36.61971830985916
Calditrichota,CF7,6,71,8.450704225352112
Calditrichota,CF9_9,40,71,56.33802816901409
Calescibacteriota,CF12,6,11,54.54545454545454
Calescibacteriota,CF14,5,11,45.45454545454545
Calescibacteriota,CF15_17,6,11,54.54545454545454
Calescibacteriota,CF23,1,11,9.090909090909092
Calescibacteriota,CF24,6,11,54.54545454545454
Calescibacteriota,CF6,4,11,36.36363636363637
Campylobacterota,CF0,444,12704,3.494962216624685
Campylobacterota,CF1,895,12704,7.045025188916878
Campylobacterota,CF10,30,12704,0.23614609571788414
Campylobacterota,CF11,9,12704,0.07084382871536524
Campylobacterota,CF12,1304,12704,10.26448362720403
Campylobacterota,CF13,1286,12704,10.1227959697733
Campylobacterota,CF14,1225,12704,9.642632241813603
Campylobacterota,CF15_17,24,12704,0.1889168765743073
Campylobacterota,CF16,1004,12704,7.903022670025189
Campylobacterota,CF17_20,211,12704,1.6608942065491183
Campylobacterota,CF18,198,12704,1.5585642317380353
Campylobacterota,CF19,97,12704,0.7635390428211587
Campylobacterota,CF21,338,12704,2.6605793450881614
Campylobacterota,CF22,329,12704,2.5897355163727958
Campylobacterota,CF23,851,12704,6.698677581863979
Campylobacterota,CF24,1211,12704,9.53243073047859
Campylobacterota,CF25,52,12704,0.4093198992443325
Campylobacterota,CF26,1158,12704,9.115239294710326
Campylobacterota,CF2_10,46,12704,0.3620906801007557
Campylobacterota,CF2_4,344,12704,2.707808564231738
Campylobacterota,CF3,156,12704,1.2279596977329974
Campylobacterota,CF4,106,12704,0.8343828715365239
Campylobacterota,CF5,559,12704,4.400188916876574
Campylobacterota,CF6,542,12704,4.266372795969773
Campylobacterota,CF7,375,12704,2.9518261964735517
Campylobacterota,CF8,481,12704,3.7862090680100753
Campylobacterota,CF9_9,933,12704,7.3441435768261965
Chlamydiota,CF0,66,1033,6.389157792836399
Chlamydiota,CF1,329,1033,31.84898354307841
Chlamydiota,CF10,12,1033,1.1616650532429817
Chlamydiota,CF12,370,1033,35.81800580832527
Chlamydiota,CF13,366,1033,35.43078412391094
Chlamydiota,CF14,311,1033,30.10648596321394
Chlamydiota,CF16,286,1033,27.686350435624398
Chlamydiota,CF17_20,127,1033,12.294288480154888
Chlamydiota,CF18,2,1033,0.1936108422071636
Chlamydiota,CF19,23,1033,2.2265246853823815
Chlamydiota,CF20,86,1033,8.325266214908035
Chlamydiota,CF22,9,1033,0.8712487899322363
Chlamydiota,CF23,1,1033,0.0968054211035818
Chlamydiota,CF24,3,1033,0.29041626331074544
Chlamydiota,CF3,251,1033,24.298160696999034
Chlamydiota,CF5,109,1033,10.551790900290415
Chlamydiota,CF6,38,1033,3.6786060019361084
Chlamydiota,CF7,42,1033,4.065827686350436
Chlamydiota,CF8,115,1033,11.132623426911907
Chloroflexota,CF0,75,6904,1.086326767091541
Chloroflexota,CF1,242,6904,3.5052143684820396
Chloroflexota,CF10,6,6904,0.08690614136732329
Chloroflexota,CF11,83,6904,1.2022016222479721
Chloroflexota,CF12,4177,6904,60.50115874855157
Chloroflexota,CF13,3638,6904,52.694090382387024
Chloroflexota,CF14,786,6904,11.384704519119351
Chloroflexota,CF15_17,564,6904,8.16917728852839
Chloroflexota,CF16,134,6904,1.94090382387022
Chloroflexota,CF17_20,255,6904,3.69351100811124
Chloroflexota,CF18,1133,6904,16.410776361529546
Chloroflexota,CF19,6,6904,0.08690614136732329
Chloroflexota,CF20,30,6904,0.4345307068366165
Chloroflexota,CF21,567,6904,8.212630359212051
Chloroflexota,CF22,21,6904,0.30417149478563155
Chloroflexota,CF23,275,6904,3.9831981460023176
Chloroflexota,CF24,2076,6904,30.069524913093858
Chloroflexota,CF25,10,6904,0.14484356894553882
Chloroflexota,CF26,70,6904,1.0139049826187718
Chloroflexota,CF2_10,81,6904,1.1732329084588644
Chloroflexota,CF2_4,480,6904,6.952491309385864
Chloroflexota,CF3,6,6904,0.08690614136732329
Chloroflexota,CF4,628,6904,9.096176129779836
Chloroflexota,CF5,2531,6904,36.659907300115876
Chloroflexota,CF6,558,6904,8.082271147161066
Chloroflexota,CF7,514,6904,7.444959443800696
Chloroflexota,CF8,69,6904,0.999420625724218
Chloroflexota,CF9_9,1134,6904,16.425260718424102
Chrysiogenota,CF0,24,626,3.8338658146964857
Chrysiogenota,CF1,4,626,0.6389776357827476
Chrysiogenota,CF10,2,626,0.3194888178913738
Chrysiogenota,CF11,3,626,0.4792332268370607
Chrysiogenota,CF12,58,626,9.26517571884984
Chrysiogenota,CF13,56,626,8.945686900958465
Chrysiogenota,CF14,51,626,8.146964856230031
Chrysiogenota,CF15_17,54,626,8.626198083067091
Chrysiogenota,CF16,48,626,7.667731629392971
Chrysiogenota,CF17_20,6,626,0.9584664536741214
Chrysiogenota,CF18,9,626,1.4376996805111821
Chrysiogenota,CF19,2,626,0.3194888178913738
Chrysiogenota,CF20,1,626,0.1597444089456869
Chrysiogenota,CF22,3,626,0.4792332268370607
Chrysiogenota,CF23,48,626,7.667731629392971
Chrysiogenota,CF24,53,626,8.466453674121405
Chrysiogenota,CF25,2,626,0.3194888178913738
Chrysiogenota,CF2_10,8,626,1.2779552715654952
Chrysiogenota,CF2_4,31,626,4.952076677316294
Chrysiogenota,CF5,33,626,5.271565495207668
Chrysiogenota,CF6,24,626,3.8338658146964857
Chrysiogenota,CF7,27,626,4.313099041533546
Chrysiogenota,CF8,27,626,4.313099041533546
